movie_UiD,title,genres
267,Racing Stripes,"children, comedy"
268,Sad Movie,
269,Licence to Kill,"action, adventure, thriller"
270,Gamer,
271,It Follows,horror
272,Three Colors: Blue,
273,Kiss of the Dragon,action
274,Bounty Hunters,"action, adventure, comedy"
275,Unstoppable,"action, drama, thriller"
276,Avengers: Age of Ultron,"action, adventure, sci-fi"
277,The Sisterhood of the Traveling Pants,"adventure, comedy, drama"
278,The Incredible Hulk,"action, sci-fi"
279,The Last House on the Left,"crime, horror, thriller"
280,Code of Honor,action
281,The Siege,
282,Oblivion,"action, adventure, sci-fi, imax"
283,The Sweeney,"action, crime"
284,Tokyo Gore Police,
285,Meet Dave,"adventure, children, comedy, romance, sci-fi"
286,Warbus,
287,Westworld,"action, sci-fi, thriller, western"
288,SpongeBob SquarePants 4-D,
289,Poolhall Junkies,"comedy, drama, thriller"
290,Martyrs,horror
291,Julie,
292,House on the Hill,
293,Eddie's Million Dollar Cook-Off,
294,Finding Forrester,drama
295,Diep,
296,Spider-Man,"action, adventure, sci-fi, thriller"
297,Just Married,"comedy, romance"
298,Horrible Bosses 2,"comedy, crime"
299,The Change-Up,comedy
300,Blazing Saddles,"comedy, western"
301,Grumpier Old Men,"comedy, romance"
302,The American President,"comedy, drama, romance"
303,DÃ©jÃ  Vu,
304,"LucÃ­a, LucÃ­a",
305,Star Trek II: The Wrath of Khan,"action, adventure, sci-fi, thriller"
306,The Babysitter,
307,Dragon Ball Z: Lord Slug,
308,Runaway Bride,"comedy, romance"
309,When Harry Met Sally...,"comedy, romance"
310,The Journey,
311,Snow White,
312,The Long Walk Home,drama
313,The Pest,comedy
314,The Little Mermaid,
315,Transcendence,
316,It Happened at the World's Fair,"comedy, drama, musical"
317,Taxi to the Dark Side,documentary
318,Blitz,"action, crime, thriller"
319,Spider-Man 3,"action, adventure, sci-fi, thriller, imax"
320,Earthquake,"action, drama, thriller"
321,Invasion of the Scream Queens,
322,Neighbor,"horror, thriller"
323,Sukiyaki Western Django,
324,Vexille,
325,Pari,
326,Friends with Benefits,"comedy, romance"
327,Dog Days,
328,Mulholland Drive,"crime, drama, film-noir, mystery, thriller"
329,Valentine's Day,"comedy, romance"
330,Babel,"drama, thriller"
331,Wanderlust,comedy
332,Crank: High Voltage,"action, comedy, crime"
333,Invincible,drama
334,James Bond,
335,Porky's Revenge!,
336,The Mechanic,"action, drama, thriller"
337,Return to Never Land,"adventure, animation, children"
338,Lake Placid vs. Anaconda,"action, horror, sci-fi"
339,Eyes Wide Shut,"drama, mystery, thriller"
340,Jump Tomorrow,"comedy, drama, romance"
341,Funny Girl,"drama, musical, romance"
342,City of Men,
343,Hawking,documentary
344,Trog,"horror, sci-fi"
345,Gravity,"action, sci-fi, imax"
346,"The Goods: Live Hard, Sell Hard",comedy
347,The Ten Commandments,
348,A Raisin in the Sun,drama
349,Paul Blart: Mall Cop,"action, comedy, crime"
350,House of Games,"crime, film-noir, mystery, thriller"
351,Gaslight,"mystery, thriller"
352,Red Sonja,"action, adventure, fantasy"
353,Walk Like a Man,comedy
354,The Boss Baby,"animation, children, comedy"
355,Peter Pan,"animation, children, fantasy, musical"
356,Crossroads,"comedy, musical, romance"
357,Mr. Wrong,comedy
358,Prom Night,"horror, mystery, thriller"
359,1984,"drama, sci-fi"
360,Confessions of a Dangerous Mind,"comedy, crime, drama, thriller"
361,Boomerang,
362,Miss Congeniality,"comedy, crime"
363,Cats,musical
364,The Hole,"drama, horror, mystery, thriller"
365,Flash,
366,Los Bandoleros,"action, drama"
367,Rosie,
368,White Men Can't Jump,"comedy, drama"
369,American Gigolo,drama
370,The Specialist,"action, drama, thriller"
371,Grown Ups,comedy
372,Walt Before Mickey,drama
373,The Woman in Black,"drama, horror, thriller"
374,To Have and Have Not,"adventure, drama, romance, thriller, war"
375,Lady Bird,
376,Transformers: The Last Knight,"action, adventure, sci-fi, thriller"
377,Who Am I,
378,A Woman Scorned,
379,The Last Exorcism Part II,"horror, thriller"
380,Just Cause,"mystery, thriller"
381,The Hornet's Nest,"documentary, war"
382,Tootsie,"comedy, romance"
383,Bloodsport,action
384,"Planes, Trains and Automobiles",comedy
385,Cloudy with a Chance of Meatballs,"animation, children, fantasy, imax"
386,Something's Gotta Give,"comedy, drama, romance"
387,The Heartbreak Kid,"comedy, drama, romance"
388,Collide,"action, thriller"
389,Don't Tell Mom the Babysitter's Dead,comedy
390,22 Jump Street,"action, comedy, crime"
391,Evangelion: 2.0 You Can  Advance,
392,Snow White,children
393,The Child,
394,Get Rich or Die Tryin',"action, crime, drama"
395,Kick-Ass,"action, comedy"
396,Ernest & Celestine,
397,Love Happens,"comedy, drama, romance"
398,Home Alone 4,"children, comedy, crime"
399,Killing Kennedy,drama
400,Blades of Glory,"comedy, romance"
401,Battle of the Bulge,"action, drama, war"
402,Flawless,drama
403,Death Wish V: The Face of Death,
404,Life Is Beautiful,
405,Dolls,horror
406,Harold & Kumar Go to White Castle,"adventure, comedy"
407,The Giants,drama
408,The Pixar Story,documentary
409,The Hangover Part II,comedy
410,The King,
411,X-Men: Apocalypse,"action, adventure, fantasy, sci-fi"
412,Eddie the Eagle,comedy
413,Resident Evil,"action, horror, sci-fi, thriller"
414,Up,"adventure, animation, children, drama"
415,The 'Burbs,
416,Brick Mansions,"action, crime, drama"
417,Why Him%3F,
418,Gnomeo & Juliet: Sherlock Gnomes,
419,Money Train,"action, comedy, crime, drama, thriller"
420,Barbarella,"adventure, comedy, sci-fi"
421,"Dude, Where's My Car%3F",
422,Little Giants,"children, comedy"
423,Commando,
424,The Fog,horror
425,Ontmaskerd,
426,Murder by Death,"comedy, crime, mystery, thriller"
427,Kill Bill,
428,Jumper,"action, adventure, drama, sci-fi, thriller"
429,School Ties,drama
430,Mortdecai,"adventure, comedy, mystery, romance"
431,The Great White Hype,comedy
432,The Crazies,"action, drama, horror, sci-fi, thriller"
433,Beyond Skyline,"action, sci-fi"
434,Courageous,drama
435,Avengers Grimm,"action, adventure, fantasy"
436,Revenge of the Nerds II: Nerds in Paradise,comedy
437,Gosford Park,"comedy, drama, mystery"
438,Josie and the Pussycats,comedy
439,The Wood,drama
440,In Her Skin,"drama, thriller"
441,Book of Shadows: Blair Witch 2,"crime, horror, mystery, thriller"
442,Persepolis,"animation, drama"
443,The Spy Who Loved Me,"action, adventure, thriller"
444,Scream,
445,Go,
446,The Juror,"drama, thriller"
447,Alila,drama
448,Berlin Syndrome,"drama, thriller"
449,Sherlock Holmes,"drama, mystery, thriller"
450,Family,
451,Running with Scissors,
452,Daybreakers,
453,Deep Impact,"drama, sci-fi, thriller"
454,Gone in 60 Seconds,"action, crime, drama"
455,Home Alone 3,"children, comedy"
456,Super 8,"mystery, sci-fi, thriller, imax"
457,Fantasia 2000,"animation, children, musical, imax"
458,Superman III,"action, adventure, sci-fi"
459,The Raven,"mystery, thriller"
460,Rear Window,"mystery, thriller"
461,Popeye,"adventure, comedy, musical"
462,Villu,
463,Batman Begins,"action, crime, imax"
464,Mickey's Twice Upon a Christmas,"animation, children, comedy"
465,Abbott and Costello Go to Mars,"comedy, sci-fi"
466,The Edge of Seventeen,comedy
467,Galaxy of Terror,
468,Kindergarten Cop 2,"action, comedy"
469,Cry Wolf,
470,Patema Inverted,"adventure, animation, drama, fantasy, sci-fi"
471,Bambi,
472,Kill Bill: Volume 1,
473,Ghostbusters,"action, comedy, horror, sci-fi"
474,The Wrestler,drama
475,Wonderland,drama
476,Heat,
477,My Dinner with Andre,
478,War,"action, thriller"
479,Romeo and Juliet,
480,The Hunger Games: Catching Fire,"action, adventure, sci-fi, imax"
481,For Love of the Game,"comedy, drama"
482,Kiki's Delivery Service,
483,Spider-Man,
484,The Expendables 2,"action, adventure"
485,2 Guns,"action, comedy, crime"
486,W.W. and the Dixie Dancekings,comedy
487,The Adventures of Milo and Otis,
488,Charlie Bartlett,"comedy, drama"
489,Omar,"drama, romance"
490,Prince of Persia: The Sands of Time,"action, adventure, fantasy, romance, imax"
491,X-Men: The Last Stand,"action, sci-fi, thriller"
492,Freaky Friday,
493,Urban Legends: Final Cut,horror
494,The Lion King 1Â½,"adventure, animation, children, comedy"
495,Thy Womb,
496,Be Cool,"comedy, crime, musical"
497,Driven,
498,Cyborg Soldier,
499,"Houston, We Have a Problem!",documentary
500,Stargate: The Ark of Truth,"action, fantasy, sci-fi"
501,Flywheel,drama
502,Into Temptation,
503,The Last Airbender,"action, adventure, fantasy"
504,A Beautiful Life,drama
505,The Negotiator,"action, crime, drama, mystery, thriller"
506,Krrish,"adventure, musical, romance, sci-fi"
507,Steve Jobs,drama
508,The Alamo,"drama, war, western"
509,Behind the Mask: The Rise of Leslie Vernon,"comedy, horror, thriller"
510,Young Sherlock Holmes,"action, adventure, children, fantasy, mystery, thriller"
511,On the Waterfront,"crime, drama"
512,Detective,
513,Teenage Mutant Ninja Turtles,"action, adventure, comedy"
514,It's a Wonderful Life,"children, drama, fantasy, romance"
515,The Dark Crystal,"adventure, fantasy"
516,Everybody Wants Some!!,
517,List of accolades received by Ratatouille,
518,Oldboy,
519,How to Stop Being a Loser,comedy
520,Evil Dead Trap 3: Broken Love Killer,
521,Alice Through the Looking Glass,"adventure, children, fantasy"
522,District 13,
523,Ghostbusters,
524,Tarzan,"adventure, animation, children, drama"
525,Justice League Dark,"action, animation, fantasy, horror"
526,Extracted,"drama, sci-fi"
527,Nightmare,
528,Witching & Bitching,
529,Meet the Feebles,"animation, comedy, musical"
530,The Rocketeer,"action, adventure, sci-fi"
531,Anchorman: The Legend of Ron Burgundy,comedy
532,Skyfall,"action, adventure, thriller, imax"
533,Daddy's Girl,
534,South Pacific,"musical, romance, war"
535,Son of Aladdin,
536,Turbo Kid,"action, adventure, sci-fi"
537,"Crazy, Stupid, Love",
538,Romance Complicated,
539,The Scorpion King,
540,From Justin to Kelly,"musical, romance"
541,The Sandlot,"children, comedy, drama"
542,The Visit,"comedy, horror"
543,Pee-wee's Big Adventure,"adventure, comedy"
544,Duck Soup,"comedy, musical, war"
545,Think Like a Man,comedy
546,Captain Mike Across America,
547,Silent Hill,"fantasy, horror, thriller"
548,Bowling for Columbine,documentary
549,Hustle & Flow,"crime, drama"
550,City of Angels,"drama, fantasy, romance"
551,The Croods,"adventure, animation, comedy"
552,Paddington Bear,
553,Jurassic Park,"action, adventure, sci-fi, thriller"
554,The Baader Meinhof Complex,
555,Stay Tuned,comedy
556,The Missing Person,
557,The Best Little Whorehouse in Texas,"comedy, drama, musical, romance"
558,Take,"crime, drama"
559,Black Beauty,
560,Bridget Jones's Diary,"comedy, drama, romance"
561,47 Meters Down,
562,Hoodwinked!,"animation, children, comedy"
563,"Honey, I Shrunk the Kids","adventure, children, comedy, fantasy, sci-fi"
564,Grown-Ups,
565,Sweeney Todd: The Demon Barber of Fleet Street,"drama, horror, musical, thriller"
566,Stalingrad,"action, drama, war, imax"
567,The Bourne Supremacy,"action, crime, thriller"
568,To Catch a Thief,"crime, mystery, romance, thriller"
569,Her Battle for Existence,
570,The Transformers: The Movie,"adventure, animation, children, sci-fi"
571,Day of the Dead,horror
572,The Paperboy,thriller
573,Nightbreed,"fantasy, horror"
574,Inception,"action, crime, drama, mystery, sci-fi, thriller, imax"
575,Paranormal Activity 4,"horror, imax"
576,The Simpsons Movie,"animation, comedy"
577,Speed 2: Cruise Control,"action, romance, thriller"
578,Zombeavers,"action, comedy, horror"
579,The Wizard of Oz,
580,Lars and the Real Girl,"comedy, drama"
581,The Thomas Crown Affair,"crime, drama, romance, thriller"
582,The Benefactor,drama
583,The Red and the Black,drama
584,Madagascar,"adventure, animation, children, comedy"
585,The Wizard of Oz,"adventure, children, fantasy, musical"
586,Castle in the Sky,
587,The Passion of the Christ,drama
588,The Dark Knight,"action, crime, drama, imax"
589,The Descent,"adventure, drama, horror, thriller"
590,Prelude to War,
591,The Mothman Prophecies,"drama, fantasy, horror, mystery, thriller"
592,The Thin Blue Line,documentary
593,The Insomniac,
594,The Stepfather,"horror, thriller"
595,Smokey and the Bandit,"action, comedy"
596,Hostage,"action, crime, drama, thriller"
597,The Hitchhiker's Guide to the Galaxy,"adventure, comedy, sci-fi"
598,Legend ? 17,
599,Drunken Master,
600,Rock of Ages,"comedy, drama, musical, imax"
601,American Wedding,
602,The Fly,"horror, mystery, sci-fi"
603,The Rainmaker,drama
604,Dracula's Daughter,"drama, horror"
605,King Arthur,"action, adventure, drama, war"
606,I.T.,drama
607,RoboCop,"action, crime, sci-fi, imax"
608,The Arrival,
609,War and Peace,
610,Ronin,"action, crime, thriller"
611,Open House,"crime, drama, thriller"
612,Mercenary for Justice,action
613,Grayson,
614,When a Stranger Calls,"horror, thriller"
615,The Chef,
616,Pinocchio,
617,Sinister 2,"horror, mystery, thriller"
618,CNote,
619,Paranormal Activity: The Marked Ones,"horror, thriller"
620,The Last Dinosaur,
621,Drop Dead Darling,
622,Training Day,"crime, drama, thriller"
623,Superbad,comedy
624,The Fugitive,thriller
625,We'll Never Have Paris,"comedy, romance"
626,"Sister, Sister",
627,What a Girl Wants,"comedy, drama, romance"
628,Naked,
629,Safety Not Guaranteed,"comedy, drama"
630,Cutthroat Island,"action, adventure, romance"
631,Captain America II: Death Too Soon,"action, crime"
632,Masterminds,
633,Shall We Dance%3F,
634,Candyman: Farewell to the Flesh,"fantasy, horror"
635,Far from Home,thriller
636,Oba: The Last Samurai,
637,Battleship,"action, sci-fi, thriller, imax"
638,Out Cold,comedy
639,Neon Genesis Evangelion: Death & Rebirth,
640,"To Sir, with Love",
641,Suburbicon,
642,Never Let Me Go,"drama, romance, sci-fi"
643,Captive,drama
644,Mistaken Orders,
645,Beauty and the Beast,
646,RocknRolla,"action, crime"
647,Do You Believe in Magic,
648,Argo,"drama, thriller"
649,Furious 7,"action, crime, thriller"
650,Some Like It Hot,"comedy, crime"
651,Night Train,"action, mystery, thriller"
652,Bad Boys,"action, comedy, crime, drama, thriller"
653,Destination Moon,sci-fi
654,Paddington,"children, comedy"
655,The Black Hole,"children, sci-fi"
656,Punch-Drunk Love,"comedy, drama, romance"
657,When in Rome,"children, comedy"
658,The Reader,"drama, romance"
659,Vegas Vacation,
660,The Force,"action, crime, drama, romance, thriller"
661,Land of Mine,war
662,Loose Change,
663,Dead Man,"drama, mystery, western"
664,One Fine Day,"drama, romance"
665,Thelma & Louise,"adventure, crime, drama"
666,Shaolin Temple,
667,The Pit and the Pendulum,"horror, thriller"
668,Let Me Out,
669,James Bond,
670,The Kill Team,"documentary, war"
671,Solaris,
672,Tom and Huck,"adventure, children"
673,Raiders of the Lost Ark,
674,Zathura,"action, adventure, children, fantasy"
675,Footloose,"comedy, drama, musical"
676,Before I Wake,"horror, thriller"
677,Lethal Weapon,"action, comedy, crime, drama"
678,The Kids Are Alright,documentary
679,Judge Dredd,"action, crime, sci-fi"
680,Much Ado About Nothing,drama
681,Shanghai Knights,"action, adventure, comedy"
682,The Strangers,"horror, thriller"
683,Winnie the Pooh,"animation, children, comedy"
684,Last Man Standing,"action, crime, drama, thriller"
685,Dying of Laughter,
686,Beverly Hills Cop II,"action, comedy, crime, thriller"
687,The Last Gangster,"crime, drama, thriller"
688,Future X-Cops,
689,Giant Creepy Crawlies,
690,NausicaÃ¤ of the Valley of the Wind,
691,The Space Between Us,"adventure, sci-fi"
692,Sherlock Holmes,"action, crime, mystery, thriller"
693,Layer Cake,"crime, drama, thriller"
694,American Pie,"comedy, romance"
695,Timecop,"action, sci-fi, thriller"
696,Coach Carter,drama
697,The Expendables 3,"action, adventure"
698,Night of the Living Bread,
699,Mr. Bond,
700,Now and Then,"children, drama"
701,Rollerball,"action, drama, sci-fi"
702,Prey,"horror, sci-fi"
703,Moonlight,drama
704,Swiss Family Robinson,"adventure, children"
705,Van Wilder,
706,Wonder Women! The Untold Story of American Superheroines,
707,Interstellar,"sci-fi, imax"
708,Defendor,"comedy, crime, drama"
709,The Fixer,
710,About Time,"drama, fantasy, romance"
711,Disaster Movie,comedy
712,The Cabinet of Caligari,thriller
713,The Innocents,"drama, horror, thriller"
714,Edge of Tomorrow,"action, sci-fi, imax"
715,The Dance,
716,Sphere,"sci-fi, thriller"
717,Sugar and Spice,
718,Always,"drama, fantasy, romance"
719,The Book of Life,"adventure, animation, romance"
720,Van Helsing: The London Assignment,"action, animation, fantasy, horror"
721,Victoria and Abdul,
722,Water for Elephants,"drama, romance"
723,Step Up,"drama, romance"
724,Alice in Wonderland,
725,Scenic Route,"drama, thriller"
726,Left Behind,"action, sci-fi, thriller"
727,Darkness,
728,Poseidon,"action, adventure, thriller, imax"
729,A Bridge Too Far,"action, drama, war"
730,Are We Done Yet%3F,
731,Taken,"action, crime, drama, thriller"
732,Jackass 3D,"action, comedy, documentary"
733,The Day the Earth Stood Still,"drama, sci-fi, thriller"
734,Gia,"drama, romance"
735,The Black Panther Warriors,
736,Face-Off,
737,Ghost in the Shell,
738,Meet Joe Black,romance
739,Nothing to Lose,"action, adventure, comedy, crime"
740,Pistol Pete: The Life and Times of Pete Maravich,
741,Beerfest,comedy
742,I Am Michael,drama
743,Love the Coopers,comedy
744,Magic in the Moonlight,"comedy, drama, romance"
745,The King and I,"drama, musical, romance"
746,Point Break,"action, crime, thriller"
747,The Hunger Games,"action, adventure, drama, sci-fi, thriller"
748,Fruitvale Station,drama
749,Justice League: Doom,"action, animation, fantasy"
750,The Exorcist III,horror
751,Run Lola Run,
752,Hoosiers,
753,Modern Times,"comedy, drama, romance"
754,The Legend of Frosty the Snowman,
755,Uncle Brian,
756,Equilibrium,"action, sci-fi, thriller"
757,Two Night Stand,"comedy, romance"
758,Kissing Jessica Stein,"comedy, romance"
759,Return to Me,"drama, romance"
760,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"action, children, fantasy"
761,Lake Placid,"horror, thriller"
762,The Holiday,"action, children, comedy, crime, drama, romance"
763,The Devil's Arithmetic,
764,Billy Budd,adventure
765,THX 1138,"action, adventure, drama, sci-fi"
766,The Pianist,
767,Ready Player One,
768,A Cure for Wellness,"drama, horror, mystery, thriller"
769,Unknown,"drama, mystery, thriller"
770,Down Periscope,comedy
771,Pandorum,"horror, sci-fi, thriller"
772,Jack Reacher,"action, crime, thriller"
773,Whip It,"comedy, drama"
774,Supergirl,
775,Ice Castles,drama
776,H.,"drama, sci-fi, thriller"
777,Diary of a Wimpy Kid: The Long Haul,"children, comedy"
778,Sorority Row,"horror, thriller"
779,Couples Retreat,"comedy, romance"
780,The Switch,"comedy, romance"
