data_idx,ConvID,qt_movies_mentioned,user_chrono_id,movie_UiD,rating
108,470,2,108,"[1223, 4903]","[1, 1]"
109,470,3,109,[4903],[1]
110,471,0,110,"[1494, 2724, 409, 1917, 4920, 5087]","[1, 1, 1, 0, 1, 1]"
111,471,1,111,"[2724, 409, 1917, 4920, 5087]","[1, 1, 0, 1, 1]"
112,471,2,112,"[409, 1917, 4920, 5087]","[1, 0, 1, 1]"
113,471,3,113,"[1917, 4920, 5087]","[0, 1, 1]"
114,471,4,114,"[4920, 5087]","[1, 1]"
115,471,5,115,[5087],[1]
116,474,0,116,"[4686, 1327, 4903, 1223, 6551, 5476, 3186, 5882, 2415, 4304, 405]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
117,474,1,117,"[1327, 4903, 1223, 6551, 5476, 3186, 5882, 2415, 4304, 405]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
118,474,2,118,"[4903, 1223, 6551, 5476, 3186, 5882, 2415, 4304, 405]","[1, 1, 0, 1, 1, 0, 1, 1, 1]"
119,474,4,119,"[6551, 5476, 3186, 5882, 2415, 4304, 405]","[0, 1, 1, 0, 1, 1, 1]"
120,474,5,120,"[5476, 3186, 5882, 2415, 4304, 405]","[1, 1, 0, 1, 1, 1]"
121,474,7,121,"[5882, 2415, 4304, 405]","[0, 1, 1, 1]"
122,474,8,122,"[2415, 4304, 405]","[1, 1, 1]"
123,474,9,123,"[4304, 405]","[1, 1]"
124,474,10,124,[405],[1]
125,475,1,125,"[3876, 3357, 3227, 5558]","[1, 1, 1, 1]"
126,475,2,126,"[3357, 3227, 5558]","[1, 1, 1]"
127,475,3,127,"[3227, 5558]","[1, 1]"
128,477,0,128,"[70, 4052, 6545, 2282]","[1, 0, 1, 1]"
129,477,1,129,"[4052, 6545, 2282]","[0, 1, 1]"
130,477,2,130,"[6545, 2282]","[1, 1]"
131,477,3,131,[2282],[1]
132,480,0,132,"[741, 2057, 5130, 4201, 3875]","[1, 0, 1, 1, 1]"
133,480,1,133,"[2057, 5130, 4201, 3875]","[0, 1, 1, 1]"
134,480,2,134,"[5130, 4201, 3875]","[1, 1, 1]"
135,480,3,135,"[4201, 3875]","[1, 1]"
136,480,4,136,[3875],[1]
137,481,0,137,"[2353, 6551, 6483, 3977, 5919, 4686]","[1, 1, 0, 1, 1, 1]"
138,481,2,138,"[6483, 3977, 5919, 4686]","[0, 1, 1, 1]"
139,481,3,139,"[3977, 5919, 4686]","[1, 1, 1]"
140,481,4,140,"[5919, 4686]","[1, 1]"
141,481,5,141,[4686],[1]
142,482,0,142,"[2777, 5609, 1149, 5851]","[1, 1, 0, 1]"
143,482,2,143,"[1149, 5851]","[0, 1]"
144,482,3,144,[5851],[1]
145,484,0,145,"[3283, 2393, 5233, 6357, 5474, 973]","[1, 1, 1, 1, 1, 1]"
146,484,2,146,"[5233, 6357, 5474, 973]","[1, 1, 1, 1]"
147,484,3,147,"[6357, 5474, 973]","[1, 1, 1]"
148,484,4,148,"[5474, 973]","[1, 1]"
149,484,5,149,[973],[1]
150,485,0,150,"[1849, 5851, 1633, 3038, 5241, 5281]","[1, 1, 1, 1, 1, 1]"
151,485,2,151,"[1633, 3038, 5241, 5281]","[1, 1, 1, 1]"
152,485,3,152,"[3038, 5241, 5281]","[1, 1, 1]"
153,485,4,153,"[5241, 5281]","[1, 1]"
154,487,0,154,"[1397, 2353, 4236, 4389, 634]","[1, 1, 0, 1, 1]"
155,487,1,155,"[2353, 4236, 4389, 634]","[1, 0, 1, 1]"
156,487,2,156,"[4236, 4389, 634]","[0, 1, 1]"
157,487,3,157,"[4389, 634]","[1, 1]"
158,487,4,158,[634],[1]
159,502,0,159,"[4922, 1494, 5878, 5362, 4502]","[1, 1, 1, 1, 1]"
160,502,1,160,"[1494, 5878, 5362, 4502]","[1, 1, 1, 1]"
161,502,2,161,"[5878, 5362, 4502]","[1, 1, 1]"
162,502,3,162,"[5362, 4502]","[1, 1]"
163,502,4,163,[4502],[1]
164,503,0,164,"[2904, 508, 2801, 2510, 4945]","[1, 1, 0, 1, 1]"
165,503,2,165,"[2801, 2510, 4945]","[0, 1, 1]"
166,503,4,166,[4945],[1]
167,507,0,167,"[1494, 608, 5270, 4203, 1067, 1074]","[1, 1, 1, 1, 1, 1]"
168,507,1,168,"[608, 5270, 4203, 1067, 1074]","[1, 1, 1, 1, 1]"
169,507,2,169,"[5270, 4203, 1067, 1074]","[1, 1, 1, 1]"
170,507,3,170,"[4203, 1067, 1074]","[1, 1, 1]"
171,507,5,171,[1074],[1]
172,512,0,172,"[707, 1494, 1074, 1178, 5270]","[1, 1, 1, 1, 1]"
173,512,1,173,"[1494, 1074, 1178, 5270]","[1, 1, 1, 1]"
174,512,2,174,"[1074, 1178, 5270]","[1, 1, 1]"
175,512,3,175,"[1178, 5270]","[1, 1]"
176,512,4,176,[5270],[1]
177,513,0,177,"[5851, 1149, 1713, 5270, 2777]","[1, 1, 1, 1, 1]"
178,513,1,178,"[1149, 1713, 5270, 2777]","[1, 1, 1, 1]"
179,513,2,179,"[1713, 5270, 2777]","[1, 1, 1]"
180,513,3,180,"[5270, 2777]","[1, 1]"
181,513,4,181,[2777],[1]
182,514,0,182,"[4619, 2047, 5478, 2174]","[1, 1, 1, 1]"
183,514,2,183,"[5478, 2174]","[1, 1]"
184,514,3,184,[2174],[1]
185,516,0,185,"[4203, 5270, 354, 4903, 874, 4304]","[1, 1, 1, 1, 1, 1]"
186,516,1,186,"[5270, 354, 4903, 874, 4304]","[1, 1, 1, 1, 1]"
187,516,2,187,"[354, 4903, 874, 4304]","[1, 1, 1, 1]"
188,516,3,188,"[4903, 874, 4304]","[1, 1, 1]"
189,516,4,189,"[874, 4304]","[1, 1]"
190,516,5,190,[4304],[1]
191,518,0,191,"[5270, 4203, 874, 2720]","[1, 1, 1, 1]"
192,518,1,192,"[4203, 874, 2720]","[1, 1, 1]"
193,518,2,193,"[874, 2720]","[1, 1]"
194,518,3,194,[2720],[1]
195,519,0,195,"[5478, 2047, 400, 2720, 5549, 6530]","[1, 1, 1, 1, 1, 1]"
196,519,1,196,"[2047, 400, 2720, 5549, 6530]","[1, 1, 1, 1, 1]"
197,519,2,197,"[400, 2720, 5549, 6530]","[1, 1, 1, 1]"
198,519,3,198,"[2720, 5549, 6530]","[1, 1, 1]"
199,519,4,199,"[5549, 6530]","[1, 1]"
200,519,5,200,[6530],[1]
201,522,0,201,"[1504, 5476, 4686, 3263, 1634]","[1, 1, 1, 1, 1]"
202,522,1,202,"[5476, 4686, 3263, 1634]","[1, 1, 1, 1]"
203,522,2,203,"[4686, 3263, 1634]","[1, 1, 1]"
204,522,3,204,"[3263, 1634]","[1, 1]"
205,522,4,205,[1634],[1]
206,533,0,206,"[1082, 949, 4686, 6258]","[1, 1, 1, 1]"
207,533,1,207,"[949, 4686, 6258]","[1, 1, 1]"
208,533,2,208,"[4686, 6258]","[1, 1]"
209,533,3,209,[6258],[1]
210,538,0,210,"[2697, 1082, 1504, 4686]","[0, 0, 0, 1]"
211,538,1,211,"[1082, 1504, 4686]","[0, 0, 1]"
212,538,2,212,"[1504, 4686]","[0, 1]"
213,538,3,213,[4686],[1]
214,540,0,214,"[2247, 265, 2748, 3904, 2026]","[1, 1, 0, 0, 1]"
215,540,1,215,"[265, 2748, 3904, 2026]","[1, 0, 0, 1]"
216,540,2,216,"[2748, 3904, 2026]","[0, 0, 1]"
217,540,3,217,"[3904, 2026]","[0, 1]"
218,540,4,218,[2026],[1]
219,542,0,219,"[6483, 1193, 1789, 5048, 3720]","[1, 0, 1, 1, 1]"
220,542,1,220,"[1193, 1789, 5048, 3720]","[0, 1, 1, 1]"
221,542,2,221,"[1789, 5048, 3720]","[1, 1, 1]"
222,542,3,222,"[5048, 3720]","[1, 1]"
223,542,4,223,[3720],[1]
224,543,0,224,"[4851, 3720, 909, 3382]","[1, 1, 1, 1]"
225,543,2,225,"[909, 3382]","[1, 1]"
226,543,3,226,[3382],[1]
227,544,0,227,"[5130, 276, 237, 2563, 1082, 2257]","[1, 1, 0, 0, 0, 0]"
228,544,1,228,"[276, 237, 2563, 1082, 2257]","[1, 0, 0, 0, 0]"
229,544,2,229,"[237, 2563, 1082, 2257]","[0, 0, 0, 0]"
230,544,3,230,"[2563, 1082, 2257]","[0, 0, 0]"
231,544,5,231,[2257],[0]
232,554,0,232,"[6389, 2047, 417, 5549, 3918]","[0, 1, 1, 1, 1]"
233,554,1,233,"[2047, 417, 5549, 3918]","[1, 1, 1, 1]"
234,554,2,234,"[417, 5549, 3918]","[1, 1, 1]"
235,554,3,235,"[5549, 3918]","[1, 1]"
236,554,4,236,[3918],[1]
237,556,0,237,"[4510, 1397, 3563, 2353, 4686, 874]","[1, 1, 1, 1, 1, 1]"
238,556,1,238,"[1397, 3563, 2353, 4686, 874]","[1, 1, 1, 1, 1]"
239,556,2,239,"[3563, 2353, 4686, 874]","[1, 1, 1, 1]"
240,556,3,240,"[2353, 4686, 874]","[1, 1, 1]"
241,556,5,241,[874],[1]
242,557,0,242,"[16, 5632, 3451, 1327]","[1, 0, 1, 1]"
243,557,1,243,"[5632, 3451, 1327]","[0, 1, 1]"
244,557,2,244,"[3451, 1327]","[1, 1]"
245,557,3,245,[1327],[1]
246,558,0,246,"[4086, 2610, 2593, 1067, 1078]","[1, 1, 1, 1, 1]"
247,558,1,247,"[2610, 2593, 1067, 1078]","[1, 1, 1, 1]"
248,558,2,248,"[2593, 1067, 1078]","[1, 1, 1]"
249,558,3,249,"[1067, 1078]","[1, 1]"
250,558,4,250,[1078],[1]
251,560,0,251,"[326, 5316, 5042, 1542]","[1, 1, 1, 1]"
252,560,2,252,"[5042, 1542]","[1, 1]"
253,560,3,253,[1542],[1]
254,561,0,254,"[3467, 5281, 6483, 5496, 5919]","[1, 1, 1, 1, 1]"
255,561,1,255,"[5281, 6483, 5496, 5919]","[1, 1, 1, 1]"
256,561,2,256,"[6483, 5496, 5919]","[1, 1, 1]"
257,561,3,257,"[5496, 5919]","[1, 1]"
258,561,4,258,[5919],[1]
259,563,0,259,"[5452, 5332, 5222, 514, 1660, 316]","[1, 1, 1, 1, 1, 1]"
260,563,1,260,"[5332, 5222, 514, 1660, 316]","[1, 1, 1, 1, 1]"
261,563,2,261,"[5222, 514, 1660, 316]","[1, 1, 1, 1]"
262,563,3,262,"[514, 1660, 316]","[1, 1, 1]"
263,563,4,263,"[1660, 316]","[1, 1]"
264,563,5,264,[316],[1]
265,564,0,265,"[5943, 4134, 1837, 2687]","[1, 1, 1, 0]"
266,564,1,266,"[4134, 1837, 2687]","[1, 1, 0]"
267,564,2,267,"[1837, 2687]","[1, 0]"
268,564,3,268,[2687],[0]
269,567,0,269,"[2477, 6199, 1631, 6503]","[1, 0, 1, 1]"
270,567,1,270,"[6199, 1631, 6503]","[0, 1, 1]"
271,567,2,271,"[1631, 6503]","[1, 1]"
272,567,3,272,[6503],[1]
273,569,0,273,"[3174, 5130, 3652, 2057]","[0, 1, 1, 1]"
274,569,1,274,"[5130, 3652, 2057]","[1, 1, 1]"
275,569,2,275,"[3652, 2057]","[1, 1]"
276,569,3,276,[2057],[1]
277,570,0,277,"[5289, 6118, 4581, 1542, 1837]","[1, 1, 1, 1, 1]"
278,570,2,278,"[4581, 1542, 1837]","[1, 1, 1]"
279,570,4,279,[1837],[1]
280,571,0,280,"[600, 5461, 1192, 6094]","[1, 0, 1, 1]"
281,571,1,281,"[5461, 1192, 6094]","[0, 1, 1]"
282,571,2,282,"[1192, 6094]","[1, 1]"
283,571,3,283,[6094],[1]
284,573,0,284,"[2562, 4686, 3944, 5476, 3333]","[0, 1, 1, 1, 1]"
285,573,1,285,"[4686, 3944, 5476, 3333]","[1, 1, 1, 1]"
286,573,2,286,"[3944, 5476, 3333]","[1, 1, 1]"
287,573,3,287,"[5476, 3333]","[1, 1]"
288,575,0,288,"[3451, 2074, 5362, 3636, 4095]","[1, 1, 1, 1, 1]"
289,575,2,289,"[5362, 3636, 4095]","[1, 1, 1]"
290,575,3,290,"[3636, 4095]","[1, 1]"
291,579,0,291,"[2292, 4533, 2042, 2968, 4395, 6282]","[1, 0, 1, 1, 1, 1]"
292,579,1,292,"[4533, 2042, 2968, 4395, 6282]","[0, 1, 1, 1, 1]"
293,579,2,293,"[2042, 2968, 4395, 6282]","[1, 1, 1, 1]"
294,579,3,294,"[2968, 4395, 6282]","[1, 1, 1]"
295,579,4,295,"[4395, 6282]","[1, 1]"
296,579,5,296,[6282],[1]
297,582,0,297,"[3876, 3227, 2988, 6555]","[1, 1, 0, 1]"
298,582,1,298,"[3227, 2988, 6555]","[1, 0, 1]"
299,582,2,299,"[2988, 6555]","[0, 1]"
300,582,3,300,[6555],[1]
301,583,0,301,"[1314, 5130, 4118, 2455, 414]","[1, 1, 1, 1, 1]"
302,583,1,302,"[5130, 4118, 2455, 414]","[1, 1, 1, 1]"
303,583,2,303,"[4118, 2455, 414]","[1, 1, 1]"
304,583,3,304,"[2455, 414]","[1, 1]"
305,583,4,305,[414],[1]
306,585,0,306,"[5261, 5267, 4789, 651]","[1, 1, 1, 1]"
307,585,2,307,"[4789, 651]","[1, 1]"
308,585,3,308,[651],[1]
309,586,0,309,"[6258, 5546, 5624, 5685]","[1, 1, 1, 1]"
310,586,1,310,"[5546, 5624, 5685]","[1, 1, 1]"
311,586,2,311,"[5624, 5685]","[1, 1]"
312,586,3,312,[5685],[1]
313,588,0,313,"[1850, 2443, 2150, 2669]","[1, 1, 1, 1]"
314,588,2,314,"[2150, 2669]","[1, 1]"
315,588,3,315,[2669],[1]
316,589,0,316,"[1069, 3935, 3620, 3411, 1272]","[1, 1, 0, 1, 1]"
317,589,1,317,"[3935, 3620, 3411, 1272]","[1, 0, 1, 1]"
318,589,2,318,"[3620, 3411, 1272]","[0, 1, 1]"
319,589,3,319,"[3411, 1272]","[1, 1]"
320,589,4,320,[1272],[1]
321,590,0,321,"[3172, 362, 3964, 6242]","[1, 0, 1, 1]"
322,590,2,322,"[3964, 6242]","[1, 1]"
323,593,0,323,"[2191, 1178, 756, 336]","[1, 1, 1, 1]"
324,593,2,324,"[756, 336]","[1, 1]"
325,595,0,325,"[3793, 2038, 1199, 2052, 808, 6411]","[1, 1, 1, 1, 1, 1]"
326,595,2,326,"[1199, 2052, 808, 6411]","[1, 1, 1, 1]"
327,595,4,327,"[808, 6411]","[1, 1]"
328,596,0,328,"[2441, 3484, 1272, 4851, 5362, 4085]","[1, 1, 1, 1, 1, 1]"
329,596,1,329,"[3484, 1272, 4851, 5362, 4085]","[1, 1, 1, 1, 1]"
330,596,2,330,"[1272, 4851, 5362, 4085]","[1, 1, 1, 1]"
331,596,3,331,"[4851, 5362, 4085]","[1, 1, 1]"
332,596,5,332,[4085],[1]
333,599,1,333,"[1272, 4851, 4730, 6271]","[1, 1, 1, 1]"
334,599,2,334,"[4851, 4730, 6271]","[1, 1, 1]"
335,599,3,335,"[4730, 6271]","[1, 1]"
336,600,0,336,"[3170, 3598, 1380, 1123, 746, 3935, 1616]","[1, 1, 1, 1, 0, 0, 1]"
337,600,1,337,"[3598, 1380, 1123, 746, 3935, 1616]","[1, 1, 1, 0, 0, 1]"
338,600,2,338,"[1380, 1123, 746, 3935, 1616]","[1, 1, 0, 0, 1]"
339,600,4,339,"[746, 3935, 1616]","[0, 0, 1]"
340,600,5,340,"[3935, 1616]","[0, 1]"
341,601,0,341,"[1166, 4085, 1272, 4851, 1494]","[1, 1, 1, 0, 1]"
342,601,1,342,"[4085, 1272, 4851, 1494]","[1, 1, 0, 1]"
343,601,3,343,"[4851, 1494]","[0, 1]"
344,601,4,344,[1494],[1]
345,602,0,345,"[1272, 4085, 1166, 1494, 1542]","[1, 1, 1, 1, 0]"
346,602,1,346,"[4085, 1166, 1494, 1542]","[1, 1, 1, 0]"
347,602,2,347,"[1166, 1494, 1542]","[1, 1, 0]"
348,602,3,348,"[1494, 1542]","[1, 0]"
349,602,4,349,[1542],[0]
350,603,0,350,"[4619, 1494, 2628, 1925, 3954, 3287, 5376]","[1, 1, 1, 1, 1, 1, 1]"
351,603,2,351,"[2628, 1925, 3954, 3287, 5376]","[1, 1, 1, 1, 1]"
352,603,4,352,"[3954, 3287, 5376]","[1, 1, 1]"
353,603,5,353,"[3287, 5376]","[1, 1]"
354,606,0,354,"[6022, 673, 3563, 4004, 5129, 4574, 3922, 5362]","[1, 1, 1, 1, 1, 1, 1, 1]"
355,606,2,355,"[3563, 4004, 5129, 4574, 3922, 5362]","[1, 1, 1, 1, 1, 1]"
356,606,3,356,"[4004, 5129, 4574, 3922, 5362]","[1, 1, 1, 1, 1]"
357,606,4,357,"[5129, 4574, 3922, 5362]","[1, 1, 1, 1]"
358,606,6,358,"[3922, 5362]","[1, 1]"
359,606,7,359,[5362],[1]
360,609,0,360,"[738, 1327, 1724, 3688, 4658]","[1, 1, 1, 1, 1]"
361,609,2,361,"[1724, 3688, 4658]","[1, 1, 1]"
362,609,3,362,"[3688, 4658]","[1, 1]"
363,609,4,363,[4658],[1]
364,610,0,364,"[105, 2477, 5038, 3194, 5270, 2484]","[1, 1, 1, 1, 1, 1]"
365,610,1,365,"[2477, 5038, 3194, 5270, 2484]","[1, 1, 1, 1, 1]"
366,610,2,366,"[5038, 3194, 5270, 2484]","[1, 1, 1, 1]"
367,610,3,367,"[3194, 5270, 2484]","[1, 1, 1]"
368,610,4,368,"[5270, 2484]","[1, 1]"
369,610,5,369,[2484],[1]
370,611,0,370,"[3339, 4790, 5165, 3849, 5662, 4743]","[0, 1, 1, 1, 1, 1]"
371,611,1,371,"[4790, 5165, 3849, 5662, 4743]","[1, 1, 1, 1, 1]"
372,611,3,372,"[3849, 5662, 4743]","[1, 1, 1]"
373,611,4,373,"[5662, 4743]","[1, 1]"
374,611,5,374,[4743],[1]
375,612,0,375,"[874, 2353, 6485, 4304]","[1, 1, 1, 1]"
376,612,1,376,"[2353, 6485, 4304]","[1, 1, 1]"
377,612,3,377,[4304],[1]
378,613,0,378,"[2720, 5522, 5042, 2687, 2047, 3283, 2174, 2801]","[1, 1, 1, 1, 1, 1, 1, 1]"
379,613,1,379,"[5522, 5042, 2687, 2047, 3283, 2174, 2801]","[1, 1, 1, 1, 1, 1, 1]"
380,613,2,380,"[5042, 2687, 2047, 3283, 2174, 2801]","[1, 1, 1, 1, 1, 1]"
381,613,4,381,"[2047, 3283, 2174, 2801]","[1, 1, 1, 1]"
382,613,5,382,"[3283, 2174, 2801]","[1, 1, 1]"
383,613,6,383,"[2174, 2801]","[1, 1]"
384,613,7,384,[2801],[1]
385,614,0,385,"[2593, 1149, 2686, 594, 5270, 5130]","[1, 1, 1, 1, 1, 1]"
386,614,2,386,"[2686, 594, 5270, 5130]","[1, 1, 1, 1]"
387,614,4,387,"[5270, 5130]","[1, 1]"
388,614,5,388,[5130],[1]
389,615,0,389,"[5267, 6010, 264, 574, 4748, 5649, 3308, 510, 2668, 2799, 3416, 2394]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
390,615,2,390,"[264, 574, 4748, 5649, 3308, 510, 2668, 2799, 3416, 2394]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
391,615,4,391,"[4748, 5649, 3308, 510, 2668, 2799, 3416, 2394]","[1, 0, 1, 1, 1, 1, 1, 1]"
392,615,5,392,"[5649, 3308, 510, 2668, 2799, 3416, 2394]","[0, 1, 1, 1, 1, 1, 1]"
393,615,6,393,"[3308, 510, 2668, 2799, 3416, 2394]","[1, 1, 1, 1, 1, 1]"
394,615,8,394,"[2668, 2799, 3416, 2394]","[1, 1, 1, 1]"
395,615,10,395,"[3416, 2394]","[1, 1]"
396,615,11,396,[2394],[1]
