data_idx,ConvID,qt_movies_mentioned,user_chrono_id,movie_ReDOrId,rating
34,418,3,34,"[5047, 4606, 5921, 6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1, 1, 1, 1]"
35,418,4,35,"[4606, 5921, 6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1, 1, 1]"
36,418,5,36,"[5921, 6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1, 1]"
37,418,6,37,"[6217, 5166, 2183, 796, 4404]","[1, 1, 1, 1, 1]"
38,418,7,38,"[5166, 2183, 796, 4404]","[1, 1, 1, 1]"
39,418,8,39,"[2183, 796, 4404]","[1, 1, 1]"
40,418,9,40,"[796, 4404]","[1, 1]"
41,419,0,41,"[4606, 3034, 863, 4272, 1597, 4313]","[1, 1, 0, 1, 1, 1]"
42,419,1,42,"[3034, 863, 4272, 1597, 4313]","[1, 0, 1, 1, 1]"
43,419,2,43,"[863, 4272, 1597, 4313]","[0, 1, 1, 1]"
44,419,3,44,"[4272, 1597, 4313]","[1, 1, 1]"
45,419,4,45,"[1597, 4313]","[1, 1]"
46,419,5,46,[4313],[1]
47,426,0,47,"[665, 1438, 5166, 3904, 3087, 3217, 1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
48,426,2,48,"[5166, 3904, 3087, 3217, 1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
49,426,3,49,"[3904, 3087, 3217, 1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
50,426,4,50,"[3087, 3217, 1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 1, 1, 0, 1, 1, 1, 1, 1]"
51,426,5,51,"[3217, 1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 1, 0, 1, 1, 1, 1, 1]"
52,426,6,52,"[1534, 3800, 6311, 1098, 1951, 3375, 1177]","[1, 0, 1, 1, 1, 1, 1]"
53,426,8,53,"[6311, 1098, 1951, 3375, 1177]","[1, 1, 1, 1, 1]"
54,426,9,54,"[1098, 1951, 3375, 1177]","[1, 1, 1, 1]"
55,426,11,55,"[3375, 1177]","[1, 1]"
56,426,12,56,[1177],[1]
57,455,0,57,"[2445, 5508, 2560, 6035]","[0, 1, 1, 1]"
58,455,1,58,"[5508, 2560, 6035]","[1, 1, 1]"
59,455,2,59,"[2560, 6035]","[1, 1]"
60,455,3,60,[6035],[1]
61,458,0,61,"[2472, 863, 999, 30, 720]","[0, 1, 1, 1, 1]"
62,458,1,62,"[863, 999, 30, 720]","[1, 1, 1, 1]"
63,458,2,63,"[999, 30, 720]","[1, 1, 1]"
64,458,3,64,"[30, 720]","[1, 1]"
65,459,0,65,"[6307, 30, 999, 4892, 1024]","[1, 1, 1, 1, 1]"
66,459,1,66,"[30, 999, 4892, 1024]","[1, 1, 1, 1]"
67,459,2,67,"[999, 4892, 1024]","[1, 1, 1]"
68,459,3,68,"[4892, 1024]","[1, 1]"
69,459,4,69,[1024],[1]
70,461,0,70,"[1136, 3381, 6307, 851, 5907]","[0, 1, 1, 1, 1]"
71,461,1,71,"[3381, 6307, 851, 5907]","[1, 1, 1, 1]"
72,461,3,72,"[851, 5907]","[1, 1]"
73,461,4,73,[5907],[1]
74,462,0,74,"[145, 4747, 3602, 517]","[1, 0, 1, 1]"
75,462,1,75,"[4747, 3602, 517]","[0, 1, 1]"
76,462,2,76,"[3602, 517]","[1, 1]"
77,462,3,77,[517],[1]
78,463,0,78,"[4185, 5963, 6307, 5598, 3632, 685]","[1, 1, 0, 1, 1, 1]"
79,463,2,79,"[6307, 5598, 3632, 685]","[0, 1, 1, 1]"
80,463,3,80,"[5598, 3632, 685]","[1, 1, 1]"
81,463,4,81,"[3632, 685]","[1, 1]"
82,463,5,82,[685],[1]
83,464,0,83,"[5519, 2734, 6196, 5639]","[1, 1, 1, 0]"
84,464,1,84,"[2734, 6196, 5639]","[1, 1, 0]"
85,464,3,85,[5639],[0]
86,465,0,86,"[4606, 4547, 1098, 713]","[1, 1, 0, 1]"
87,465,1,87,"[4547, 1098, 713]","[1, 0, 1]"
88,465,2,88,"[1098, 713]","[0, 1]"
89,465,3,89,[713],[1]
90,466,0,90,"[1534, 4255, 5043, 935]","[1, 1, 0, 1]"
91,466,1,91,"[4255, 5043, 935]","[1, 0, 1]"
92,466,2,92,"[5043, 935]","[0, 1]"
93,466,3,93,[935],[1]
94,467,0,94,"[2396, 6307, 1534, 2277]","[1, 1, 0, 1]"
95,467,2,95,"[1534, 2277]","[0, 1]"
96,467,3,96,[2277],[1]
97,468,0,97,"[3292, 720, 217, 4763]","[1, 1, 0, 1]"
98,468,1,98,"[720, 217, 4763]","[1, 0, 1]"
99,468,2,99,"[217, 4763]","[0, 1]"
100,468,3,100,[4763],[1]
101,469,0,101,"[145, 3894, 2396, 2939, 30]","[1, 1, 0, 1, 1]"
102,469,1,102,"[3894, 2396, 2939, 30]","[1, 0, 1, 1]"
103,469,2,103,"[2396, 2939, 30]","[0, 1, 1]"
104,469,3,104,"[2939, 30]","[1, 1]"
105,469,4,105,[30],[1]
106,470,0,106,"[3286, 5954, 4606, 713]","[1, 0, 1, 1]"
107,470,1,107,"[5954, 4606, 713]","[0, 1, 1]"
108,470,2,108,"[4606, 713]","[1, 1]"
109,470,3,109,[713],[1]
110,471,0,110,"[6307, 1772, 2807, 4738, 720, 763]","[1, 1, 1, 0, 1, 1]"
111,471,1,111,"[1772, 2807, 4738, 720, 763]","[1, 1, 0, 1, 1]"
112,471,2,112,"[2807, 4738, 720, 763]","[1, 0, 1, 1]"
113,471,3,113,"[4738, 720, 763]","[0, 1, 1]"
114,471,4,114,"[720, 763]","[1, 1]"
115,471,5,115,[763],[1]
116,474,0,116,"[5467, 6267, 713, 4606, 4293, 2445, 3449, 2550, 3281, 5389, 1230]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
117,474,1,117,"[6267, 713, 4606, 4293, 2445, 3449, 2550, 3281, 5389, 1230]","[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]"
118,474,2,118,"[713, 4606, 4293, 2445, 3449, 2550, 3281, 5389, 1230]","[1, 1, 0, 1, 1, 0, 1, 1, 1]"
119,474,4,119,"[4293, 2445, 3449, 2550, 3281, 5389, 1230]","[0, 1, 1, 0, 1, 1, 1]"
120,474,5,120,"[2445, 3449, 2550, 3281, 5389, 1230]","[1, 1, 0, 1, 1, 1]"
121,474,7,121,"[2550, 3281, 5389, 1230]","[0, 1, 1, 1]"
122,474,8,122,"[3281, 5389, 1230]","[1, 1, 1]"
123,474,9,123,"[5389, 1230]","[1, 1]"
124,474,10,124,[1230],[1]
125,475,1,125,"[5280, 1921, 315, 5683]","[1, 1, 1, 1]"
126,475,2,126,"[1921, 315, 5683]","[1, 1, 1]"
127,475,3,127,"[315, 5683]","[1, 1]"
128,477,0,128,"[1146, 513, 5927, 3245]","[1, 0, 1, 1]"
129,477,1,129,"[513, 5927, 3245]","[0, 1, 1]"
130,477,2,130,"[5927, 3245]","[1, 1]"
131,477,3,131,[3245],[1]
132,480,0,132,"[4473, 4765, 771, 2114, 2050]","[1, 0, 1, 1, 1]"
133,480,1,133,"[4765, 771, 2114, 2050]","[0, 1, 1, 1]"
134,480,2,134,"[771, 2114, 2050]","[1, 1, 1]"
135,480,3,135,"[2114, 2050]","[1, 1]"
136,480,4,136,[2050],[1]
137,481,0,137,"[78, 4293, 1098, 6101, 2560, 5467]","[1, 1, 0, 1, 1, 1]"
138,481,2,138,"[1098, 6101, 2560, 5467]","[0, 1, 1, 1]"
139,481,3,139,"[6101, 2560, 5467]","[1, 1, 1]"
140,481,4,140,"[2560, 5467]","[1, 1]"
141,481,5,141,[5467],[1]
142,482,0,142,"[209, 885, 1430, 2544]","[1, 1, 0, 1]"
143,482,2,143,"[1430, 2544]","[0, 1]"
144,482,3,144,[2544],[1]
145,484,0,145,"[1778, 3277, 802, 3476, 5662, 1379]","[1, 1, 1, 1, 1, 1]"
146,484,2,146,"[802, 3476, 5662, 1379]","[1, 1, 1, 1]"
147,484,3,147,"[3476, 5662, 1379]","[1, 1, 1]"
148,484,4,148,"[5662, 1379]","[1, 1]"
149,484,5,149,[1379],[1]
150,485,0,150,"[1577, 2544, 4705, 3408, 2385, 2395]","[1, 1, 1, 1, 1, 1]"
151,485,2,151,"[4705, 3408, 2385, 2395]","[1, 1, 1, 1]"
152,485,3,152,"[3408, 2385, 2395]","[1, 1, 1]"
153,485,4,153,"[2385, 2395]","[1, 1]"
154,487,0,154,"[4624, 78, 2125, 3750, 2862]","[1, 1, 0, 1, 1]"
155,487,1,155,"[78, 2125, 3750, 2862]","[1, 0, 1, 1]"
156,487,2,156,"[2125, 3750, 2862]","[0, 1, 1]"
157,487,3,157,"[3750, 2862]","[1, 1]"
158,487,4,158,[2862],[1]
159,502,0,159,"[5525, 6307, 5759, 3996, 2196]","[1, 1, 1, 1, 1]"
160,502,1,160,"[6307, 5759, 3996, 2196]","[1, 1, 1, 1]"
161,502,2,161,"[5759, 3996, 2196]","[1, 1, 1]"
162,502,3,162,"[3996, 2196]","[1, 1]"
163,502,4,163,[2196],[1]
164,503,0,164,"[1814, 6066, 1244, 1728, 2312]","[1, 1, 0, 1, 1]"
165,503,2,165,"[1244, 1728, 2312]","[0, 1, 1]"
166,503,4,166,[2312],[1]
167,507,0,167,"[6307, 6095, 3965, 2115, 6211, 2967]","[1, 1, 1, 1, 1, 1]"
168,507,1,168,"[6095, 3965, 2115, 6211, 2967]","[1, 1, 1, 1, 1]"
169,507,2,169,"[3965, 2115, 6211, 2967]","[1, 1, 1, 1]"
170,507,3,170,"[2115, 6211, 2967]","[1, 1, 1]"
171,507,5,171,[2967],[1]
172,512,0,172,"[5964, 6307, 2967, 4616, 3965]","[1, 1, 1, 1, 1]"
173,512,1,173,"[6307, 2967, 4616, 3965]","[1, 1, 1, 1]"
174,512,2,174,"[2967, 4616, 3965]","[1, 1, 1]"
175,512,3,175,"[4616, 3965]","[1, 1]"
176,512,4,176,[3965],[1]
177,513,0,177,"[2544, 1430, 1558, 3965, 209]","[1, 1, 1, 1, 1]"
178,513,1,178,"[1430, 1558, 3965, 209]","[1, 1, 1, 1]"
179,513,2,179,"[1558, 3965, 209]","[1, 1, 1]"
180,513,3,180,"[3965, 209]","[1, 1]"
181,513,4,181,[209],[1]
182,514,0,182,"[2224, 4763, 4031, 4800]","[1, 1, 1, 1]"
183,514,2,183,"[4031, 4800]","[1, 1]"
184,514,3,184,[4800],[1]
185,516,0,185,"[2115, 3965, 4383, 713, 2921, 5389]","[1, 1, 1, 1, 1, 1]"
186,516,1,186,"[3965, 4383, 713, 2921, 5389]","[1, 1, 1, 1, 1]"
187,516,2,187,"[4383, 713, 2921, 5389]","[1, 1, 1, 1]"
188,516,3,188,"[713, 2921, 5389]","[1, 1, 1]"
189,516,4,189,"[2921, 5389]","[1, 1]"
190,516,5,190,[5389],[1]
191,518,0,191,"[3965, 2115, 2921, 4949]","[1, 1, 1, 1]"
192,518,1,192,"[2115, 2921, 4949]","[1, 1, 1]"
193,518,2,193,"[2921, 4949]","[1, 1]"
194,518,3,194,[4949],[1]
195,519,0,195,"[4031, 4763, 6042, 4949, 863, 1110]","[1, 1, 1, 1, 1, 1]"
196,519,1,196,"[4763, 6042, 4949, 863, 1110]","[1, 1, 1, 1, 1]"
197,519,2,197,"[6042, 4949, 863, 1110]","[1, 1, 1, 1]"
198,519,3,198,"[4949, 863, 1110]","[1, 1, 1]"
199,519,4,199,"[863, 1110]","[1, 1]"
200,519,5,200,[1110],[1]
201,522,0,201,"[6310, 2445, 5467, 1896, 6362]","[1, 1, 1, 1, 1]"
202,522,1,202,"[2445, 5467, 1896, 6362]","[1, 1, 1, 1]"
203,522,2,203,"[5467, 1896, 6362]","[1, 1, 1]"
204,522,3,204,"[1896, 6362]","[1, 1]"
205,522,4,205,[6362],[1]
206,533,0,206,"[4568, 6187, 5467, 2634]","[1, 1, 1, 1]"
207,533,1,207,"[6187, 5467, 2634]","[1, 1, 1]"
208,533,2,208,"[5467, 2634]","[1, 1]"
209,533,3,209,[2634],[1]
210,538,0,210,"[4941, 4568, 6310, 5467]","[0, 0, 0, 1]"
211,538,1,211,"[4568, 6310, 5467]","[0, 0, 1]"
212,538,2,212,"[6310, 5467]","[0, 1]"
213,538,3,213,[5467],[1]
214,540,0,214,"[427, 4358, 4958, 2055, 1620]","[1, 1, 0, 0, 1]"
215,540,1,215,"[4358, 4958, 2055, 1620]","[1, 0, 0, 1]"
216,540,2,216,"[4958, 2055, 1620]","[0, 0, 1]"
217,540,3,217,"[2055, 1620]","[0, 1]"
218,540,4,218,[1620],[1]
219,542,0,219,"[1098, 2990, 3124, 755, 3582]","[1, 0, 1, 1, 1]"
220,542,1,220,"[2990, 3124, 755, 3582]","[0, 1, 1, 1]"
221,542,2,221,"[3124, 755, 3582]","[1, 1, 1]"
222,542,3,222,"[755, 3582]","[1, 1]"
223,542,4,223,[3582],[1]
224,543,0,224,"[2285, 3582, 3520, 5139]","[1, 1, 1, 1]"
225,543,2,225,"[3520, 5139]","[1, 1]"
226,543,3,226,[5139],[1]
227,544,0,227,"[771, 4362, 1191, 4903, 4568, 3240]","[1, 1, 0, 0, 0, 0]"
228,544,1,228,"[4362, 1191, 4903, 4568, 3240]","[1, 0, 0, 0, 0]"
229,544,2,229,"[1191, 4903, 4568, 3240]","[0, 0, 0, 0]"
230,544,3,230,"[4903, 4568, 3240]","[0, 0, 0]"
231,544,5,231,[3240],[0]
232,554,0,232,"[4248, 4763, 1235, 863, 3632]","[0, 1, 1, 1, 1]"
233,554,1,233,"[4763, 1235, 863, 3632]","[1, 1, 1, 1]"
234,554,2,234,"[1235, 863, 3632]","[1, 1, 1]"
235,554,3,235,"[863, 3632]","[1, 1]"
236,554,4,236,[3632],[1]
237,556,0,237,"[631, 4624, 398, 78, 5467, 2921]","[1, 1, 1, 1, 1, 1]"
238,556,1,238,"[4624, 398, 78, 5467, 2921]","[1, 1, 1, 1, 1]"
239,556,2,239,"[398, 78, 5467, 2921]","[1, 1, 1, 1]"
240,556,3,240,"[78, 5467, 2921]","[1, 1, 1]"
241,556,5,241,[2921],[1]
242,557,0,242,"[1131, 6174, 371, 6267]","[1, 0, 1, 1]"
243,557,1,243,"[6174, 371, 6267]","[0, 1, 1]"
244,557,2,244,"[371, 6267]","[1, 1]"
245,557,3,245,[6267],[1]
246,558,0,246,"[524, 159, 152, 6211, 6215]","[1, 1, 1, 1, 1]"
247,558,1,247,"[159, 152, 6211, 6215]","[1, 1, 1, 1]"
248,558,2,248,"[152, 6211, 6215]","[1, 1, 1]"
249,558,3,249,"[6211, 6215]","[1, 1]"
250,558,4,250,[6215],[1]
251,560,0,251,"[1213, 3984, 3905, 3087]","[1, 1, 1, 1]"
252,560,2,252,"[3905, 3087]","[1, 1]"
253,560,3,253,[3087],[1]
254,561,0,254,"[5157, 2395, 1098, 2451, 2560]","[1, 1, 1, 1, 1]"
255,561,1,255,"[2395, 1098, 2451, 2560]","[1, 1, 1, 1]"
256,561,2,256,"[1098, 2451, 2560]","[1, 1, 1]"
257,561,3,257,"[2451, 2560]","[1, 1]"
258,561,4,258,[2560],[1]
259,563,0,259,"[2439, 2404, 798, 4419, 1551, 2782]","[1, 1, 1, 1, 1, 1]"
260,563,1,260,"[2404, 798, 4419, 1551, 2782]","[1, 1, 1, 1, 1]"
261,563,2,261,"[798, 4419, 1551, 2782]","[1, 1, 1, 1]"
262,563,3,262,"[4419, 1551, 2782]","[1, 1, 1]"
263,563,4,263,"[1551, 2782]","[1, 1]"
264,563,5,264,[2782],[1]
265,564,0,265,"[5778, 1567, 3138, 4939]","[1, 1, 1, 0]"
266,564,1,266,"[1567, 3138, 4939]","[1, 1, 0]"
267,564,2,267,"[3138, 4939]","[1, 0]"
268,564,3,268,[4939],[0]
269,567,0,269,"[118, 5849, 1542, 4282]","[1, 0, 1, 1]"
270,567,1,270,"[5849, 1542, 4282]","[0, 1, 1]"
271,567,2,271,"[1542, 4282]","[1, 1]"
272,567,3,272,[4282],[1]
273,569,0,273,"[304, 771, 5209, 4765]","[0, 1, 1, 1]"
274,569,1,274,"[771, 5209, 4765]","[1, 1, 1]"
275,569,2,275,"[5209, 4765]","[1, 1]"
276,569,3,276,[4765],[1]
277,570,0,277,"[3972, 4185, 2219, 3087, 3138]","[1, 1, 1, 1, 1]"
278,570,2,278,"[2219, 3087, 3138]","[1, 1, 1]"
279,570,4,279,[3138],[1]
280,571,0,280,"[4442, 4253, 1446, 1002]","[1, 0, 1, 1]"
281,571,1,281,"[4253, 1446, 1002]","[0, 1, 1]"
282,571,2,282,"[1446, 1002]","[1, 1]"
283,571,3,283,[1002],[1]
284,573,0,284,"[145, 5467, 2066, 2445, 5124]","[0, 1, 1, 1, 1]"
285,573,1,285,"[5467, 2066, 2445, 5124]","[1, 1, 1, 1]"
286,573,2,286,"[2066, 2445, 5124]","[1, 1, 1]"
287,573,3,287,"[2445, 5124]","[1, 1]"
288,575,0,288,"[371, 1631, 3996, 416, 5334]","[1, 1, 1, 1, 1]"
289,575,2,289,"[3996, 416, 5334]","[1, 1, 1]"
290,575,3,290,"[416, 5334]","[1, 1]"
291,579,0,291,"[61, 5431, 3190, 1828, 3753, 5872]","[1, 0, 1, 1, 1, 1]"
292,579,1,292,"[5431, 3190, 1828, 3753, 5872]","[0, 1, 1, 1, 1]"
293,579,2,293,"[3190, 1828, 3753, 5872]","[1, 1, 1, 1]"
294,579,3,294,"[1828, 3753, 5872]","[1, 1, 1]"
295,579,4,295,"[3753, 5872]","[1, 1]"
296,579,5,296,[5872],[1]
297,582,0,297,"[5280, 315, 265, 5931]","[1, 1, 0, 1]"
298,582,1,298,"[315, 265, 5931]","[1, 0, 1]"
299,582,2,299,"[265, 5931]","[0, 1]"
300,582,3,300,[5931],[1]
301,583,0,301,"[6265, 771, 3690, 112, 2809]","[1, 1, 1, 1, 1]"
302,583,1,302,"[771, 3690, 112, 2809]","[1, 1, 1, 1]"
303,583,2,303,"[3690, 112, 2809]","[1, 1, 1]"
304,583,3,304,"[112, 2809]","[1, 1]"
305,583,4,305,[2809],[1]
306,585,0,306,"[2389, 5605, 5492, 6110]","[1, 1, 1, 1]"
307,585,2,307,"[5492, 6110]","[1, 1]"
308,585,3,308,[6110],[1]
309,586,0,309,"[2634, 5680, 889, 900]","[1, 1, 1, 1]"
310,586,1,310,"[5680, 889, 900]","[1, 1, 1]"
311,586,2,311,"[889, 900]","[1, 1]"
312,586,3,312,[900],[1]
313,588,0,313,"[3140, 3286, 3221, 1761]","[1, 1, 1, 1]"
314,588,2,314,"[3221, 1761]","[1, 1]"
315,588,3,315,[1761],[1]
316,589,0,316,"[4566, 489, 5202, 3502, 4619]","[1, 1, 0, 1, 1]"
317,589,1,317,"[489, 5202, 3502, 4619]","[1, 0, 1, 1]"
318,589,2,318,"[5202, 3502, 4619]","[0, 1, 1]"
319,589,3,319,"[3502, 4619]","[1, 1]"
320,589,4,320,[4619],[1]
321,590,0,321,"[1875, 2796, 5301, 5860]","[1, 0, 1, 1]"
322,590,2,322,"[5301, 5860]","[1, 1]"
323,593,0,323,"[3229, 4616, 893, 1215]","[1, 1, 1, 1]"
324,593,2,324,"[893, 1215]","[1, 1]"
325,595,0,325,"[2029, 3188, 1448, 1627, 1338, 4255]","[1, 1, 1, 1, 1, 1]"
326,595,2,326,"[1448, 1627, 1338, 4255]","[1, 1, 1, 1]"
327,595,4,327,"[1338, 4255]","[1, 1]"
328,596,0,328,"[3284, 5161, 4619, 2285, 3996, 3677]","[1, 1, 1, 1, 1, 1]"
329,596,1,329,"[5161, 4619, 2285, 3996, 3677]","[1, 1, 1, 1, 1]"
330,596,2,330,"[4619, 2285, 3996, 3677]","[1, 1, 1, 1]"
331,596,3,331,"[2285, 3996, 3677]","[1, 1, 1]"
332,596,5,332,[3677],[1]
333,599,1,333,"[4619, 2285, 683, 5867]","[1, 1, 1, 1]"
334,599,2,334,"[2285, 683, 5867]","[1, 1, 1]"
335,599,3,335,"[683, 5867]","[1, 1]"
336,600,0,336,"[5074, 3556, 394, 6230, 1323, 489, 4702]","[1, 1, 1, 1, 0, 0, 1]"
337,600,1,337,"[3556, 394, 6230, 1323, 489, 4702]","[1, 1, 1, 0, 0, 1]"
338,600,2,338,"[394, 6230, 1323, 489, 4702]","[1, 1, 0, 0, 1]"
339,600,4,339,"[1323, 489, 4702]","[0, 0, 1]"
340,600,5,340,"[489, 4702]","[0, 1]"
341,601,0,341,"[2985, 3677, 4619, 2285, 6307]","[1, 1, 1, 0, 1]"
342,601,1,342,"[3677, 4619, 2285, 6307]","[1, 1, 0, 1]"
343,601,3,343,"[2285, 6307]","[0, 1]"
344,601,4,344,[6307],[1]
345,602,0,345,"[4619, 3677, 2985, 6307, 3087]","[1, 1, 1, 1, 0]"
346,602,1,346,"[3677, 2985, 6307, 3087]","[1, 1, 1, 0]"
347,602,2,347,"[2985, 6307, 3087]","[1, 1, 0]"
348,602,3,348,"[6307, 3087]","[1, 0]"
349,602,4,349,[3087],[0]
350,603,0,350,"[2224, 6307, 167, 3150, 2067, 328, 5636]","[1, 1, 1, 1, 1, 1, 1]"
351,603,2,351,"[167, 3150, 2067, 328, 5636]","[1, 1, 1, 1, 1]"
352,603,4,352,"[2067, 328, 5636]","[1, 1, 1]"
353,603,5,353,"[328, 5636]","[1, 1]"
354,606,0,354,"[983, 1304, 398, 3657, 3926, 5438, 5293, 3996]","[1, 1, 1, 1, 1, 1, 1, 1]"
355,606,2,355,"[398, 3657, 3926, 5438, 5293, 3996]","[1, 1, 1, 1, 1, 1]"
356,606,3,356,"[3657, 3926, 5438, 5293, 3996]","[1, 1, 1, 1, 1]"
357,606,4,357,"[3926, 5438, 5293, 3996]","[1, 1, 1, 1]"
358,606,6,358,"[5293, 3996]","[1, 1]"
359,606,7,359,[3996],[1]
360,609,0,360,"[2889, 6267, 3117, 3576, 3812]","[1, 1, 1, 1, 1]"
361,609,2,361,"[3117, 3576, 3812]","[1, 1, 1]"
362,609,3,362,"[3576, 3812]","[1, 1]"
363,609,4,363,[3812],[1]
364,610,0,364,"[5967, 118, 752, 3452, 3965, 1722]","[1, 1, 1, 1, 1, 1]"
365,610,1,365,"[118, 752, 3452, 3965, 1722]","[1, 1, 1, 1, 1]"
366,610,2,366,"[752, 3452, 3965, 1722]","[1, 1, 1, 1]"
367,610,3,367,"[3452, 3965, 1722]","[1, 1, 1]"
368,610,4,368,"[3965, 1722]","[1, 1]"
369,610,5,369,[1722],[1]
370,611,0,370,"[1916, 2267, 5583, 2046, 2495, 2255]","[0, 1, 1, 1, 1, 1]"
371,611,1,371,"[2267, 5583, 2046, 2495, 2255]","[1, 1, 1, 1, 1]"
372,611,3,372,"[2046, 2495, 2255]","[1, 1, 1]"
373,611,4,373,"[2495, 2255]","[1, 1]"
374,611,5,374,[2255],[1]
375,612,0,375,"[2921, 78, 2693, 5389]","[1, 1, 1, 1]"
376,612,1,376,"[78, 2693, 5389]","[1, 1, 1]"
377,612,3,377,[5389],[1]
378,613,0,378,"[4949, 5674, 3905, 4939, 4763, 1778, 4800, 1244]","[1, 1, 1, 1, 1, 1, 1, 1]"
379,613,1,379,"[5674, 3905, 4939, 4763, 1778, 4800, 1244]","[1, 1, 1, 1, 1, 1, 1]"
380,613,2,380,"[3905, 4939, 4763, 1778, 4800, 1244]","[1, 1, 1, 1, 1, 1]"
381,613,4,381,"[4763, 1778, 4800, 1244]","[1, 1, 1, 1]"
382,613,5,382,"[1778, 4800, 1244]","[1, 1, 1]"
383,613,6,383,"[4800, 1244]","[1, 1]"
384,613,7,384,[1244],[1]
385,614,0,385,"[152, 1430, 185, 6090, 3965, 771]","[1, 1, 1, 1, 1, 1]"
386,614,2,386,"[185, 6090, 3965, 771]","[1, 1, 1, 1]"
387,614,4,387,"[3965, 771]","[1, 1]"
388,614,5,388,[771],[1]
389,615,0,389,"[5605, 5795, 1198, 1284, 5483, 897, 1907, 4837, 179, 217, 5150, 90]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
390,615,2,390,"[1198, 1284, 5483, 897, 1907, 4837, 179, 217, 5150, 90]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
391,615,4,391,"[5483, 897, 1907, 4837, 179, 217, 5150, 90]","[1, 0, 1, 1, 1, 1, 1, 1]"
392,615,5,392,"[897, 1907, 4837, 179, 217, 5150, 90]","[0, 1, 1, 1, 1, 1, 1]"
393,615,6,393,"[1907, 4837, 179, 217, 5150, 90]","[1, 1, 1, 1, 1, 1]"
394,615,8,394,"[179, 217, 5150, 90]","[1, 1, 1, 1]"
395,615,10,395,"[5150, 90]","[1, 1]"
396,615,11,396,[90],[1]
397,616,0,397,"[4615, 6044, 3150, 4293, 1639, 2285, 3967, 1690, 2223, 440, 1926]","[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]"
